-1001402477730,supergroup,ПАССИВНЫЙ СКЛАД,,,f,f
-256167546,group,МВ-13🤓,,,f,t
-316875831,group,GANGBANG👨‍❤️‍💋‍👨,,,f,f
-1001365389962,supergroup,Жир углеводы и белки,,,f,f
-278454946,group,Мы придумал,,,f,t
-311106230,group,Шульгольчани,,,f,t
-1001422204792,supergroup,ло,,,f,t
343097987,private,,kraftwerk28,,f,t
-239937283,group,Лысый Кактус,,,f,f
-329373962,group,.,,,f,t
-337415947,group,Табор овец🤡🤰🏻,,,f,t
-338488505,group,Некультурне слово,,,f,t
-1001333903226,supergroup,КУКУ АОА 3.0,,,f,f
476539078,private,,sergiykobtsev,,f,t
562371872,private,,brizeees_privat,,f,t
631353800,private,,,,f,t
391738513,private,,ovoosh,,f,f
700062670,private,,,,f,t
-360957875,group,Киевские художники💋,,,f,t
378811576,private,,Apwp11,,f,t
-1001497344817,supergroup,2 гривні,,,f,t
396713355,private,,karrikest,,f,t
580117432,private,,,,f,f
-337412634,group,💖,,,f,t
367927054,private,,remix4517,,f,t
-380509304,group,Песики,,,f,t
-1001406759711,supergroup,КІ-19-1,,,f,f
423880022,private,,croathoan,,f,t
398501999,private,,trixiboi,,f,t
191399017,private,,Ansek,,f,t
985244210,private,,,,f,t
506967344,private,,solodkakotia,,f,t
365800393,private,,never_been_hurt,,f,t
846697103,private,,id010619,,f,t
475242214,private,,,,f,t
-379613293,group,10 клас,,,f,t
612110405,private,,libra_fatum,,f,t
72817102,private,,Vinchenzzo,,f,t
494114957,private,,,,f,t
-1001431529956,supergroup,Ебобо,,,f,f
340489846,private,,markqwe,,f,t
785278391,private,,,,f,t
414238438,private,,trone9,,f,t
522174872,private,,vovanskiy,,f,t
366264993,private,,dddd21111,,f,t
521251059,private,,SpasatileX,,f,t
45253433,private,,sriblomusic,,f,t
-263135097,group,все таки 10 б,,,f,t
446795595,private,,punks_n0t_dead,,f,t
797512039,private,,FlashPowerOnMe,,f,t
504865334,private,,grynenko,,f,t
631102788,private,,vovchitsa,,f,t
466079798,private,,alenka_vox,,f,t
